filename,x,y,z
f567c33c.png,4.598684,3.15851,12.149035
f64132c8.png,11.068524,5.583265,5.272189
f6575117.png,11.076064,4.985184,4.970669
f6cfef3f.png,4.912963,2.8197553,11.854333
f6d980a0.png,11.278275,5.4897146,5.4026194
f722466f.png,6.922911,4.2390914,11.354549
f8335316.png,8.683739,5.5773225,8.80608
f875007a.png,4.6353073,3.7088585,13.0116205
f8a26220.png,5.4231176,4.3176217,11.546925
fbb18dc0.png,7.073703,3.9641767,13.111407
fce2b5d4.png,6.024824,3.9550655,12.977303
fd389adb.png,5.302347,4.303178,11.41783
ffe8b4cb.png,6.5996284,4.105513,12.875913
fff13f3a.png,8.851242,5.5691986,8.871747
